סמל מוסד,שם מוסד,שם מנהל
473017,אולפנת צביה טהר,נעם כרמיאל
474460,רון ארד,רויטל חבר
474684,הראשונים,עדי בירן פגץ
474734,בית מלכה בית שמש,רחל פנט
474833,הבית העגול,בוריס גורביץ
475053,מנחם בגין,יוספה ספי זלצמן
475061,עתידים,רונית חזן
475608,שדות,אביטל סובל רויף
475616,דרך החינוך,אסתר לינר
475673,תלמוד תורה שפתי חיים,נפתלי סנדי שרייבר
475723,מעוז חיים,יחזקאל חזי כהן
475780,עלה ירושלים,אורית רוזנברג
475848,עלה,פרידה מרמורשטיין
475863,טריהאוס,אברהם חאזי
475871,רועי קריב מרכז להורא,רועי-יוחנן קריב
476093,חיי תורה,אשר זליג שוב
476267,בית ספר מעיין,נועה לינדר
476325,"בי""ס בינלאומי למזרח ים תיכון",הדס-יפה גוטליב בורשטין
476465,"ת""ת כלל חסידי בית שמש",יוסף דב לבקוביץ
476796,אליה,תומר ווקנין
476903,אורט מתיבתא בית שמש,אבישי דוד בראון
476929,בראשית,אפרת שרעבי לסטר
477018,תורת חיים ואהבה,יונתן מונסונגו
477091,ישיבת בית אשר,נח בלוי
477166,"מקיף אלמג'ד ע""ש השיח",זוהיר אבו בלאל
477257,בית ספר אלמעאלי המעו,נסרין אבראהים
477638,ישועות משה,חיים ברוך סגל
477679,בנות אסתר,רבקה לאה קנתור
477901,מקיף בית חנינה לבנות,ליאנא האשם
478016,רב תחומי עמל טייבה,הלאל מסארוה
478263,אלאהליה אלשאמלה קלנס,עלא אגבאריה
478768,תורת אמך,איתן ידגר
478784,בדרך אימותינו,חיה פרימן
478875,סמינר לפידות,מוריה גרינוואלד
478909,בית ספר יסודי נור אל,נדאא אבו כף
479055,סטודיו אנקורי,קרין ג'יוס היימן
479113,קינג סלמון סקול,צפורה אברהמי
479428,"חט""ב עתיד",חגית לשם
480004,בנימין רוטמן- שבילי העמק,אורית מליחי
480012,"אמי""ת כפר בתיה",עדו מנחם שמחון
480020,"אמי""ת פתח-תקוה",מאיה אביבי
480038,גן ונוף,שחר הרשקוביץ
480046,קרית חינוך בן גוריון,גילה ציטרון
480053,"אורים ע""ז לשם",יאיר זוסמן
480061,חקלאי עיינות,דנה אלוני יעקב
480087,חקלאי נחלת יהודה,אביעד גבאי
480095,תיכון איתן,אברהם ערן חדידה
480103,"חט""ב אילן רמון",עידו לביא
480111,"בית חינוך ע""ש רונה רמון",דגנית לוי
480129,בן-יקיר,עוז כהן
480137,"בית החינוך ע""ש שמעון פרס",איריס בוצר
480145,כפר הנוער בן שמן,סיגל בייליס
480152,איילות,נופר אלפי לס
480160,"דרך ע""ש רונה רמון",טליה לוי מלאכי
480178,"מקיף ע""ש ז'בוטינסקי",ורוניקה קופר
480194,"מקיף י""ג ע""ש יצחק נבון",חן טוקר
480202,שחקים,איילה אפרתי
480210,אליאב,יפית חביב
480228,"אלונים ע""ש שולמית אלוני",רוית שמיע
480236,"בית חינוך חב""ד בנים",ראובן שכטר
480244,"שלהבות חב""ד",חנה מושקא ערד
481945,אור מלכה,בת שבע זילברשטרום
481952,אור האמת - בנות,ורד גספן
481978,תפארת חיה,שרה דבורה הלל
482000,אלומות,רינת שטרום
482018,אילנות,עופרה יהודה
482026,מחבה,איה פדילה
482034,שירת הלב,עינת שרף
482059,אורט אורנית,ענת דובר
482067,לאה גולדברג,מירי ספקטור
482075,רחל המשוררת,דנה עוזרי
482083,"ממ""ד בנות הר ברכה",חגית קארו
482091,"ת""ת עץ חיים",שלמה גרינבוים
482109,שיבולים,חלי סמרה כהן
482117,אלברט אינשטיין,נורית פיטוסי
482125,שש שנתי שיבולים,רעות עזרי
482133,יובלים,יערית חן עגיב
482141,אל סביל,ראשה אלולו
482158,"חמ""ד תורני חבל יבנה",מור עפרי
482166,אולפנא צביה הר ברכה,שיר טובה לב
482174,אריאל שרון,אילנה רות חנני
482182,"סלעית ע""ש עוז",הילה מריל
482190,"ממ""ד רבבה בנות",מירי כהן
482216,"תורה ומדע ע""ש הרמב""ם",סיון שער
482224,"פסגות ע""ש חיים גורי",אביבית גרשון
482232,נופי מולדת,קרן דוד
482240,בית רבקה צעירות,רחל ברינה הוניג
482257,שש-שנתי תיכון גבעת שמואל,יערה ירחי צפדיה
482265,הישיבה התיכונית ברוכין,אברהם שיש
482273,יצחק נבון,רבקה אלבז
482281,יסודי אלחוארזמי,היתם בראנסי
482299,יסודי אלשאפעי,זאהר עבד אל קאדר
482307,"תיכון חב""ד בנות",שרה חנה ריפקיינד
482315,"תלמוד תורה הראי""ה",אברהם אלי יוסף פרץ
482323,סימני דרך,יעריב יערי
482331,בארי בשדה,ארז חבושה
482349,פנינים,שרה רינה שכטר
482356,השקמים,אורית קורן
482372,"רעות ע""ש רועי קליין",מוריה חלמיש
482380,בנציון נתניהו,ענת אלוני
482398,מגשימים,ילנה וייסקובוי
482406,צליל,מורן אחיטוב
482414,חיים גורי,אייל מוזיקנט
482422,שרונה,עירית קציר
482430,עלי זהב,לאה שטינמץ
482455,חיי שרה,לימור פריד
482463,"ברויאר חנ""מ",רבקה רחל סילבר
482489,"ממ""ד עמנואל",איתן כהן
482497,אור שמחה חנמ בנים,שמעון-כדורי ידגר
482505,העוגן לב השרון,בתיה לאה אשכנזי
482513,נפלאות,יפית גויטע
482521,רימון,שי דשכנזי
482539,נוה זמר,סמדר קיסילבסקי
482547,תגלית,שרית ארבל אשכנזי
482554,"מ""מ נופרים",אפרת שנהב מאיש
482562,"בית חינוך שיא ע""ש אורה הרצוג",אינה גולדמן
482570,חטיבת בראשית,אביעד רוזין
482588,בראשית,הדסה נהרי
482596,רקפות,זיוה זוהרה טויטו
482604,אורנה פורת,אורית רון
482612,דמוקרטי,תאיר דורי לוי
482620,שש שנתי יצחק נבון,אורית דורון
482638,אופקים,סימה בן יחזקאל
482646,מרחבים,טליה מי רז בולליס
482653,אולפנת השומרון,לאה רוזנברג
482661,אמירים,נעה חייט
482679,בראשית,ענת רז
482687,"חט""ב סביון-ני יהודה",אביטל קליין
482695,"חב""ד בנות",חנה אשכנזי
482703,לי-אור,סיון אשכנזי
482711,שורשים,דור חודור
482729,"חנ""מ",בילאל אבו רומי
482737,תלמוד תורה מעלות רם,נתנאל-שלמה רייך
482745,יסדת עוז,גדי יעקובוביץ
482752,יעל רום,חנה גימפל
482760,רונה רמון,מאיה כהן
482778,דרכא רות,משה מור
482786,יורם טהר-לב,מיכל ניסן
482794,שדמה,זהר רוזה קשי
482802,גלים,אתי עינת מדר
482810,עתיד חנה סנש,סבטלנה איסחקוב
482828,עלי זהב מזרח,יצחק רפופורט
482844,ישיבת צביה הר ברכה,משה חיים ויצמן
482851,שלהבות,יהודית חיה מושקה גלוכובסקי
482877,אמירים,הדר צדיק
482885,אורנים,חן רוטברט
482893,נועם רז,מגל יוסף עם שלם
482901,נעם נהורא,אפרת (חוה) עמנואל
482919,"בית חינוך ע""ש אורנה פורת",חן דויטש
482927,ביכורים,עדן לאה סגל
482935,ניצנים,נעמה הר נוי
482943,צופים,מלי מכלוף
482950,ישיבת מערב השומרון,מרב ידעי
482968,בית הספר דרכא למדעים ולמנהיגות,נאהיא פריג'
482976,תלם,ציפורה לביא
482984,איבדאע,ליקא אבו ראס יאסין
484006,תיכון חורב רעננה,רחל יוזוק
484014,דרור,גולן צוקרון
484022,בית חינוך אסף,גל לוי
484048,יצחק נבון,גלי שלמוביץ
484055,עתידים,סמדר דורות
484071,"ממ""ד ברוכין",נעמי אופן
484089,שרונה,-
484105,נרקיסים,שנית מזור
484121,בראשית,-
484139,יצחק נבון,ליאת מרקוביץ לין
484162,בין הפרדסים,אלה שגיא
484170,עמיחי,אילנית חסון לוי
484196,ביאליק,אתי כהן
484204,שש שנתי תורני לבנים נופים,-
484212,פלא,רינת רחים בנימיני
484220,ניצנים,צרויה פנט נהרי
484238,קשת,אושרת ברנס
484246,שחר,דנה גרשון שלום
484253,אור חנה,-
484261,שש שנתי דמוקרטי,-
484287,אופק-בית חינוך ישראלי,-
484295,שיר השירים,אושרת רינגל
484303,שיבולים,אילנה שובל
484311,אולפנת קרני שומרון,-
484329,"ממ""ח תורני לבנות",רנית דהרי
484345,"חב""ד גני איילון בנות",מירל שטרסברג
490037,עירוני משה שרת,רון חיים גבאי
490052,"עירוני ע""ש בן גוריון",חגי קרקו
499590,באר החיים,אברהם איצקוביץ
499624,אורט מרכז חינוך טכנולוגי עכו,איאד סאלח
499673,ברכת ישראל בנות,ברוריה אילוז
499681,"תיכון ע""ש גולדה",ירון גרבר
499699,תיכון דמוקרטי ק.אונו,רועי אביב
499707,אדרת אליהו,אלימלך איזנר
499731,אורחות אמותינו(בנות),חנה גינזבורג
499749,חפץ חיים,צופנת בן יחיאל
499756,חמדת התורה,ישראל זאב וינר
499772,מוהרן,בנימין זאב אלכורת
499806,נחלת ישראל,מאיר יחיאל קץ
499814,תפארת ברוך,חיים יוסף קירזון
499848,תפארת חיה,עדי קדוש
499863,קול יעקב,יצחק רבי
499889,מורשת רחל,חסיה בריזל
499897,"בי""ס אשרקאת אלג'ד",מאגדה אבראהים חדר
499921,"ת""ת ובית יעקב ""יצהר""",בתיה שפיצר
499939,לומדי אברהם,מנחם מנדל טסלר
499970,נטעי תורה,שלמה מלול
499988,ישיבת ברסלב לצעירים-,צבי יצחק יהודה שפיצר
500009,חנוך לנער שומרי אמון,שמעון מרדכי פרלמוטר
503631,מרכז רפואי רעות,אילונה פינטו
508093,ברנקו וייס אור יהודה,הילה טל
508101,אור מנחם,שלום דובער הנדל
508275,תבונה ודעת,מתתיהו עמראני
508424,אולפנת הללי לאומנויות,תירצה בן יצחק
510008,בית אקשטיין אור יהודה,מרדכי גיגי
510024,אלונים,לימור ברקת
510057,סעדיה גאון מד,נחמה מרקוביץ
510065,אור מנחם,זהבה גוסיאטינסקי
510073,השבעה,קרן בן כורש
510081,מימון מד,יעל כהן
510115,קוממיות,רות טייב צוריאל
510156,"חמ""ד אפיקים",אורטל גמליאל
510172,מקום לגדול,בושמת הסנר
510198,מוהליבר מד,רחל קנפו
510214,ראשונים,עינת חוה ולדמן
510230,יצחק שדה א,גלית אטיאס
510248,"ת""ת עטרת שלמה ב.ברק",יונה עמנואל
510255,א.ד.גורדון,ענת ממן
510271,עקיבא מד,חנה חדד
510289,תחכמוני מד,חנה שרה זוהר אמיתי
510313,בורוכוב,אורית כוכבי
510321,י.ח. ברנר,מזל שלו
510339,א.ד.גורדון,יעל אהרונוביץ
510347,כצנלסון,רוית סירי
510354,שמעוני,שרון בכור לוינהר
510362,אמונים מד,אור יזדי
510370,מוסדות חסידי בעלזא,אהרון פרלשטיין
510388,ברנדיס,מור תירוש
510396,ח.ברנר,טרזה תמר מישאל
510404,גורדון,נאוה טל
510412,ויצמן,חגית איפרגן
510420,יצחק בן צבי,רדית ברוך אשר
510438,נוף ים,יואב גרשון
510453,בר אילן מד,גלית סגל
510461,רמבם מד,אורית צדוק
510479,בית חינוך רעות,זיו רייף
510487,ביאליק,אמיר ויסלר
510503,א.ד.גורדון,עמיס רות יעקובי
510511,המגינים,לילך קרקובסקי
510529,משה הס,אביטל כהן
510545,רביבים,ג'וסלין-נילי קורן
510560,כצנלסון,מיטל דראי
510578,עלומים,אסף ששון
510594,שנקר,יפעת יקוטי
510628,"ישורון מ""ד",יצחק שלום רוטנברג
510636,ניר,שרונה באקבה
510644,"ת""ת תורת ישעיהו",מיכאל קקון
510651,דרך הילד,יהודה פרידמן
510685,גבעולים,טל עמרני
510693,הגפן,הדר נעים
510701,החשמונאים,ליאור זליגמן
510719,הלל,יורם בר קובץ
510727,המנחיל,אמיר סער
510735,זומר,אליה אלון
510743,המתמיד,אלה אבגי
510750,עליות,אסתר קדוש
510768,יהלם,שירלי חביב
510776,מכלל,עינת זבולון
510784,א. ארנון,אורנה בן זקן
510792,נטעים,אודליה שרם
510800,ניצנים,רותם גנט ישראלי
510826,עתיד,אוסנת עיואן
510834,מורדי הגיטאות,רויטל זמוד
510842,"רמת חן ע""ש א. רמון",סיגל המבורג
510859,בן גוריון,איריס מינדלביץ
510867,קורצאק,יפית בלנקיט
510875,אושא מד,זאב בר לב
510883,הראה מד,לאה לימור חורי
510917,שלום מד,ענר ויסברד
510925,בית חינוך אוסישקין,הילה שמאל
510933,גולן,שרון גבאי
510974,נוף ילדות,ירדן כהנא
510982,אהבת ציון,טלי תמרי גבע
511006,אוסישקין,טלי ינאי
511014,בית יעקב - אידיש גור,רחל זילבר
511030,אילון,טל רולניצקי
511048,אילנות,יעל מזור
511055,תלמוד תורה בית אליהו,אברהם יצחק ברדפיס
511071,אלחריזי,רויטל אבלס
511113,ביאליק,חוה טלמור
511121,בלפור,הילה שמעוני חן
511162,הדקל,דפנה כהן
511170,גבורי ישראל,קרן פרברוב
511188,"נופים ע""ש דוד רמז",שמחה סמדר מורס
511196,איתמר בן אבי,גרשון עמית
511212,א. ד. גורדון,ענבל ברגר מישר
511220,גרץ,שירה ערד
511246,דוד ילין,ענבל כהן שרוני
511253,פנינת בית יעקב,מיכלא איטה בריינדל ויס
511261,דוד בלוך,שרון בצלאלי שלומן
511279,הגליל,סיגלית ימין
511329,היובל,קרניאל ארד
511352,גבריאלי-הכרמל,מרים מירי רובין
511360,"ת""ת קנין התורה",נפתלי סנדי שרייבר
511378,"ת""ת חמדת התורה טבריה",גיל-ניסים נחמני
511402,בית יעקב עוז והדר,רבקה אדמוני
511428,"ב""י נאות הפסגה",טובה ליבוביץ
511451,שרת,שרון גונן זיידל
511469,בנות הדסה,הדר דוד
511477,כלנא יחד,גדעון חנניה יהושע
511485,טרה סנטה,זריפה חדיד
511519,"ע""ש ""חיים חפר""",מירב פינקל דרור
511535,מרומי שדה,שלי חזיזה
511543,"ת""ת ברקאי",אליעזר ביטר
511550,אום טובה לבנות,מחמד אבו טיר
511576,מגן,כלנית בר און
511592,אלפארוק,נאדיה עווידה
511618,נווה הראל,צפורה זקש
511626,"ת""ת בית רבן",נתנאל גריינימן
511634,צהלה,אורי ליבר
511642,רוקח,יונתן בוימפלד
511667,רמת החיל,מיכל תפילין
511675,שפירא,יעקב יצחק
511683,דבורה עומר,יעל אבן חן
511691,"אית""ן",ורדה שרה אדלר
511717,"תתמ""ד אזורי גוש עציון",מנחם שמואל איתן
511725,תל-נורדוי,בת קול כהן
511758,"ת""ת עטרת שלמה מערב",אליעזר טויב
511774,בית יעקב ולאה בנות,אלישבע גינזבורג
511782,דיזנגוף,עמיחי יחיאל שהם
511790,בעל שם טוב מד,שרון סלומון
511808,"בי""ס יסודי מדל איסט",ולאא אמבייד
511840,תת בני אחים פרמישלאן,ירוחם יצחק לנדסמן
511865,מודיעים מד,יואב שמולביץ'
511881,מוריה מד,דביר אפלבוים
511907,מירון מד,מוריה מאיה טרבלסי
511949,עציון מד,אוראל קפרי
511964,אור הגנוז בנים,אליהו אשר גרליץ
511972,שיח,יובל קינן
511998,אלומות מד,ענת בינה בלייער
512020,תת מרכז חסידי ויזניץ,שמואל אריה לייביש ברטלר
512038,שרשים מד,עמיקם נחושתן
512053,"ת""ת תורת יעקב",אברהם שלום תורגמן
512061,תלמוד תורה יסדת עז,יהושע נחום אריאל
512087,"חב""ד בנות",מיכאל בן ארוש
512095,שדה צופים,לירון כהן
512103,"ב""י אוהלי אליעזר",מרים רוטנברג
512111,בית יעקב מרכז,חיה רות כהן
512129,"ת""ת מרכז ב""ב",יצחק פולק
512137,"בני מנחם חב""ד",יהושע שמעוני
512145,בית חיה מושקא,דבורה לאה הושיאר
512152,"ב""י זכרון מאיר",שרה פוברסקי
512160,"ת""ת יפיק תבונה זכרון מאיר",אברהם צבי אלפר
512178,"ת""ת רזי-לי",יוסף לבציון
512186,"ב""י רמת שמואל נוה אחיעזר",חדוה טביב
512202,שובו בת ים,אסתר מושייב
512210,"ת""ת ובי' וולפסון",נריה זאבי
512228,"בנות מנחם חב""ד",בלה רוחמה שטיינברגר
512244,"ת""ת וב""י חורב רמת גן",יהודה שיש
512269,אור שבעת הימים,פנחס נפתלי ברנדר
512293,"תלמוד תורה חב""ד",שניאור זלמן אהרון
512301,"ב""י בית הילד",רחל פריד
512319,עץ חיים,ברוך קוגלמן
512327,ק.יעקב שערי ציון,רבקה חדד
512343,יסודי אלמסתקבל שועפט,נג'את עמורה
512350,"ב""י קרית הרים לוין",רות ברלינר
512368,"ת""ת יסודי התורה ת""א",נועם אלימלך שטרן
512384,"ת""ת יסוד העולם",דוד בן יאיר
512392,"בית יעקב רסג ת""א",עדה טיפנברון
512400,קמפוס יצחק נבון לאמנויות,טל קורן
512418,בית יעקב אור ישראל לבנדה,רחל רבקה קליין
512434,דבורה עומר,רוית גלעדי גטניו
512442,ניצנים,מירב אליקים צלניקר
512459,הניסויי כפר אדומים,עמי ויסברגר
512467,ישגב,גלית גולדסובל-משיח
512475,מורשת משה מד,רבקה יצחקי
512491,בנימין רוטמן כדורי,טלי גניאל
512509,קדם,אהרון פרידלנדר
512558,יד מרדכי,אביבית מיסטריאל
512566,נחשונים,אנה מדניק רטנר
512574,צפורי מד,רחל חיה פנצק
512582,אביחי,רחל שושנה הירשהורן
512590,יגאל אלון,נועה שועלי
512608,אריק איינשטיין,שרית אמיגה שייקה
512632,סגולה מד,עמוס מימון
512640,"ב""י ויזניץ בית לאה",פערל פלדמן
512665,לב-טוב,סימונה ליאור שורץ
512673,יחד,אילן קרן
512699,אורנים,טלי אביבי
512756,שרת משה,ליהיא סנדיק שני
512780,הבילויים,בת שבע בר כהן
512798,אמירים,דבורה ענבי
512814,ג.יוספטל,אילנית נימני גורגי
512822,"הנשיא-מ""מ. י.",לבנה דבש
512830,ירושלים,ורד יצחקי
512848,"ב""י יהודה הנשיא",אסתר הוכלרר
512855,"ת""ת פני מנחם",דוד אדלר
512871,סוקולוב,עינת שני
512889,הראל מד,דניאלה פרץ
512905,ארזים,אילנית קליין
512913,החשמונאים,עינת רויטר
512954,"רמת אפעל ע""ש א.קופלמן",אופיר סליפוי
512962,שילה מד,ענת זהר
512970,רימונים,נועה ולבר
512988,שרת,ענת שמחה עבאדי
512996,בן גוריון,דנה חדד ערן
513002,הרצל,לבנה גזל
513036,טבנקין,שרון שעשוע
513044,תל חי,מעין בר צור
513051,בבלי,דנה אייוון
513069,נעם התורה,יצחק ויזל
513077,ארן,מורן קלדרון
513093,הנדיב,ציפי סויסה קהל
513101,בן גוריון,יפית יחיא חן
513119,שער האריות,רוית בקרמן
513135,שזר,עידית בלומברג מעיין
513143,עש דינור,אדוה-קמי חלפון
513150,התבור,חלי קימלמן
513168,ויצמן,מורן ארמי
513184,יוחנני,עינת בן נאים
513192,עלומים,עינב חביב אסא
513200,יעקב ניב,שלי מורה צדק-אראזי
513242,בן צבי,אלי גבאי
513267,"ב""י רמת אהרון",בתיה ארלנגר
513283,ישיבת תורה והוראה,יוסי פרץ
513291,"ת""ת שער התורה",יעקב קובר
513309,"ע""ש יגאל אלון",חנה זנה
513317,קרית יערים,עידית לוינץ גילאי
513325,הדר,טל שוסטר בן-אור
513333,שזר,הדר טימור-עוזר
513341,רמת אביב,יגאל יערן
513358,אביגור,אורלי לאלו
513366,"ת""ת בתי אבות",בועז בדיחי
513374,"ת""ת בית דוד",אברהם נתנאל עובדיה
513382,דביר,טל כהן
513408,כפיר,טל כהן
513416,י.ישעיהו,גליה בן ציון קנמון
513432,"ב""י בית דוד",אנט שטרית
513499,"ת""ת זיו התורה",מאיר ויסמן
513507,"בית יעקב גור ""אוהל צביה""",שרה ברלינר
513515,תת רוזין בני ברק,יהודה הס
513523,אלון,מורן מזל אבני
513531,לוי אשכול,ענת שטינברג גרוטס
513549,דוד אלעזר,רונית לוי כהן
513564,אור השחר,עוזי חסון
513572,סביונים,לימור כהן
513606,בן גוריון,כוכבית בן שושן
513622,"בית מלכה ב""ב",אטיל פולק
513630,"ע""ש נעמי שמר",הילה סלהוב
513648,אילנות,גלית אראל
513655,לאמנויות,ורד בן מאיר
513671,אורות התורה מד,יוסף אופנהיימר
513689,לטבע סביבה וחברה,שרון מיכאלי רמון
513713,אשלים,טוני סאסי
513721,שרת,מירב אטיאס
513762,אמת ואמונה,אלתר חיים ברנשטיין
513770,מוסדות חסידי בעלזא,ראובן ברייש
513788,ויזניץ,דוד אריה וויינברגר
513796,דרכי אבות צאנז,יחזקאל שר
513804,קרלין סטולין,אברהם ישראל גומבו
513812,חוג חתם סופר יסודי ה,יוסף צבי בנדיקט
513820,תורת אמת,אליהו פרידלנדר
513846,כתב סופר,דוד דב פרידמן
513853,שתילי זיתים,שמעון זיאת
513861,תלמוד תורה בני-מנחם,משה סבינר
513887,אור זורח,עזריה כהן
513895,באר מרים,דינה רוזנטלר
513903,מקור ברוך סרט ויזניץ,צבי יעקב רוזנבאום
513911,באבוב,משה בן-ציון לנדאו
513929,בני אהרן,מרדכי דוד ברגר
513937,"ת""ת תפארת מרדכי",שלמה יעקב שוהם
513952,ת'ת ברסלב,יצחק מאיר גרודז'ינסקי
513960,ת'ת קרית הרצוג,אליעזר יצחק זייציק
513986,אוהל תורה,חיים נודלר
514000,"ת""ת בעל""ז",יצחק אברהם ברנשטיין
514018,"ב""י מכתב מאליהו",פנינה טבצ'ניק
514034,"ב""י אהלי שמעון",רוחמה אלפא
514042,"ת""ת עטרת ראובן",שמעון צדיק
514059,אהוד מנור,עידית איריס בלכר
514083,"ת""ת תלפיות",יוסף אברהם חיים אהרונוב
514091,באר יהושע,ישראל קלמן פניאל
514109,"ת""ת אור דוד",יעל מזוז
514117,ניצנים,מיכאל בן-מיכאל
514125,אמירים,ורד כהן דוד
514133,"ב""י בובוב",שרה לאה טויבה
514166,"ת""ת רש""י",ששון אליהו שבתאי
514174,"ת""ת בני ציון",יהונתן עוזיאל ברדה
514182,"ת""ת משכנות יעקב",יצחק פריד
514190,אור מרדכי-רמת אהרון,רפאל בלוך
514224,"ת""ת ישועת יעקב יוסף",אברהם ישעיהו סויסה
514232,"גש""ר ע""ש שירלי לואי",ברוך דדון
514240,"ביה""ס הפתוח",יוני קונר
514273,נבון,בן מזרחי
514281,"ת""ת פרי חדש",יהונתן אליהו אלישע
514331,"ב""י מסורת ישראל",שרה ליברמן
514349,אוצר החיים בנות,מרים יאיר
514372,"ת""ת בן איש חייל",צילה יהודית ניסן
514380,"ת""ת לקח טוב",אהרן דונר
514398,ערמונים,קרן נחום גרידיש
514422,בנות ציון,חיה עליזה כהן
514430,"ת""ת בית חנוך ק.הרצוג",אליעזר צולשן
514463,שיזף,תמר ששון
514471,ותתפלל חנה - בנות,שושנה חיה מעודד
514489,עטרת חיה,חיה בילה לנדא
514505,נתיבות רבקה,רחל רביבו
514513,אביב,מירב חזות
514521,שכונת המשתלה,סיון אוליאל
514539,רונה רמון,הדר וילנר
514547,"ת""ת שמחת תורה",אהרן נחום מרגלית
514562,"ת""ת איש מצליח",אליהו קבלן
514570,"ת""ת אהלי אברהם",משה חזקיה
514588,"ת""ת אור גאון",עודד מלכה
514604,"ת""ת פאר משה",מאיר זקבך
514612,"ת""ת וב""י הרמב""ם",מרים פישל
514620,"ב""י הרב כהנמן",מרים גורביץ
514653,בית יוסף,יוסי אילנתנוב
514661,אורים,אילת שטאובר אגמון
514695,"ת""ת תפארת נצח ילדי ב",פנחס מילר
514703,בית יעקב בנות שרה,אסתר רבינוביץ
514752,"ת""ת החדש בעקבי הצאן",שמואל צברי
514760,שובו תל אביב,לאה חברוני
514778,תת חסיד דארוג,עקיבא פשקוס
514786,מעוז התורה,אסף אביטן
514794,"ת""ת דרך חסידים",מרדכי לייב גלבשטיין
514828,"ת""ת מכתב מאליהו",שרון אמסלם
514851,שער שמעון אור תורה,מיכל טובה חירארי
514877,"ת""ת יחד",אשר ברדה
514885,"ת""ת פיתוחי חותם",שמעון משה יהושע מרדכ חירארי
514901,ישועות יעקב ויוסף,רחל עטיה
514919,יצחק שמיר,אמיר פרץ
514927,"ת""ת האיש משה",שי אלימלך
514935,"ע""ש יעקב כהן",ליאת חיה פלג
514943,"ביה""ס קהילה","יעל ס""ט-רשף"
514950,נופי ים,דניאל רמות
514968,אורות בנות,דבורה לאה מלוב
514976,"רש""י בנות",נחמה לאה טרבולסי
514984,בית יעקב נווה מאיר,שרה גרידינגר
514992,"ת""ת יחד ת""א",חנה גננדל שמואלביץ
515395,דמוקרטי קרית אונו,אהוד הוכרמן
515445,שרון,יעל אלכס סלע
515452,אמרי דוד,אהרון-חי טוויג
515486,שתילים רכים,ישראל שינלזון
515494,אביגדור ורשה,אורטל בתיה לביא
515502,"תיכונ""ט ע""ש אלתרמן",ניצה חן
518019,חסן ערפה יפו,שויקאר סקאללה
518035,אלאוכווה,חיאת אבו שמיס
518043,טביטה הכנסיה הסקוטית,מונה אשקר
518050,אג'יאל - ערבי יסודי,ניהאיה יחיא
518076,הפטריארכיה היונית האורתודוקסי,נג'לה חנחן
518365,יהודה המכבי,איתי סוקולובר
518373,כפר עקב לבנים,תורה חלאילה
519090,"מח""ט המכללה הטכנולוגית אלאסרא",עמר אבו עראר
519108,"מח""ט עמל רמלה",יניב פכטר
519116,חדש רחובות,יצחק וילנר
519124,"תיכון דרכא מח""ט",בת אל סבריסה אוסדון
519215,תפארת תמר,פראדל רחל רבינוביץ
519223,זיו אור,יהודה ניסן שורץ
519314,"מח""ט עמל רהט",חסין אלקרינאוי
519363,עתיד ירכא,אחמד חמזה
519405,ישיבת דרכי דוד,אליהו יגודיוב
519579,ישיבה לצעירים מאור י,נתנאל אפרים חיאק
519595,ישיבת מאורות התורה,ששון קטן
519603,ישיבת ארחות משה,דניאל פרוש
519637,ישיבת קול יעקב לצעיר,איתן ידגר
519660,ישיבה לצעירים ק. שמו,רחל חניה
519736,עטרת יוסף שלום,זאב יעקובזון
519900,ישיבת סקווירא,אהרון פריזל
519918,תפארת דוד,יהודה גרילק
519926,היכל משה,יעקב חננ פלבני
519959,ישיבת עטרת מתתיהו,פנחס שקד
520015,"חמ""ד איתן",אסתר פורת
520023,מסילות,פני אקסמן
520056,אופק,אתי גואטה
520072,עמל,פנינה זלטא
520098,"ממ""ד לבנים",יואל רז
520106,בית חינוך בנים,חנה אנתבי
520114,שחר,חדוה כהן
520130,הצרי,גלית ספוזניק
520148,צוהר לטהר,רות שטרית
520155,ישיבת הדרת מנחם,מרדכי שלמה מיזליק
520171,אנוך,עליזה יעלה סלע
520197,מעלה מד,דיקלה כובני
520205,ברושים,הדס רבאני
520213,שבילים,ענת טבק ברזילי
520221,ניב לחרשים,גלנה גוליק טסקר
520262,"בי""ס בית אקשטיין גבעתיים",אייל הופמן
520270,אלמנארה,הייסם חוסיין
520288,עירוני נווה צדק,תרצה יודלביץ שולמן
520296,אורחות חיים,שלמה שטרן
520304,בכרייה אלוין ב',מרים פרג
520320,אלסהל,ענאן תותנגי
520346,אלביירוני העירוני,תהאני מרעי שחאדה
520353,"בי""ס ללקויות למידה",עולא דיאב
520387,און,שנהב ברמן ארנון
520395,דנה,אורית לוכטנשטיין
520411,דרכי איש אוהל אשר,ברוך רפאל טולידנו
520486,מצדה,גלית אזרזר
520502,עוז,לאלי בארי
520536,סביון,סיגל-שחף גרדה
520569,נתיב,רונית יפת
520577,חורב מד,גלית ליאור גרנות
520585,שחף,עינת נהרי קרקו
520593,עציון מד,רחלי דבורה שטיין
520601,"מרכז חינוכי ע""ש ויצמן",מיכל רז
520619,יעד עמלני,שרית אגסי
520627,עש-הרצפלד,רויטל וייס
520635,נתיב,עופרי לוי חונוביץ
520643,יחדיו,רוית רבקה גבעוני בוגנר
520676,"תיכון באר עמ""י",תומר אמנו
520767,דרכי חינוך,ישראל צבי שטינברג
520874,עלה,פרידה מרמורשטיין
520890,גיל,קרן ימין
521112,בני יששכר,יניב תוהמי
521203,מעוף,שרון משיח
